Current Humidity percentage: 14%
Current Humidity percentage: 20%
Current Humidity percentage: 26%
Current Humidity percentage: 32%
Current Humidity percentage: 38%
Current Humidity percentage: 44%
Current Humidity percentage: 50%
Current Humidity percentage: 56%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 62%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 68%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 74%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 80%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 86%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 92%
WARNING! The humidity is rising, getting humid(50+)! 
 Current Humidity percentage: 98%
WARNING! The humidity is rising, getting humid(50+)! 
 
