Current Temperature: 10øC
Current Temperature: 11øC
Current Temperature: 12øC
Current Temperature: 13øC
Current Temperature: 14øC
Current Temperature: 15øC
Current Temperature: 16øC
Current Temperature: 17øC
Current Temperature: 18øC
Current Temperature: 19øC
Current Temperature: 20øC
Current Temperature: 21øC
Current Temperature: 22øC
Current Temperature: 23øC
Current Temperature: 24øC
The temperature is rising, getting warmer(25+)(ADJUSTING)!
Current Temperature: 23øC
The temperature is rising, getting warmer(25+)(ADJUSTING)!
Current Temperature: 22øC
The temperature is rising, getting warmer(25+)(ADJUSTING)!
Current Temperature: 21øC
The temperature is rising, getting warmer(25+)(ADJUSTING)!
Current Temperature: 20øC
The temperature is rising, getting warmer(25+)(ADJUSTING)!
Current Temperature: 19øC
